Nearest Ensembl,Gene Name,Gene Type,crel_mouse Best Motif log-odds Score,p65_p50_mouse Best Motif log-odds Score,crel_p50_mouse Best Motif log-odds Score
ENSMUSG00000003119,Cdk12,protein-coding,4.618299,5.292335,6.531865
ENSMUSG00000040410,Fbxl4,protein-coding,4.52267,-0.23977,2.299927
ENSMUSG00000095022,Gm20765,protein-coding,6.752396,5.624915,6.421711
ENSMUSG00000022099,Dmtn,protein-coding,-0.137588,0.82813,1.874283
,Rn4.5s,rRNA,3.163566,-0.580867,3.474671
,Snrpd3,protein-coding,5.425757,5.174772,6.878621
ENSMUSG00000058071,Olfr818,protein-coding,5.37187,3.498305,1.760967
ENSMUSG00000098826,Mir7677,ncRNA,5.57468,2.259518,4.975074
ENSMUSG00000004267,Eno2,protein-coding,4.028683,3.021221,3.094465
ENSMUSG00000031480,Thsd1,protein-coding,3.782714,3.052614,7.253283
ENSMUSG00000096655,1700065D16Rik,protein-coding,8.409329,6.64839,9.712865
ENSMUSG00000031139,Mcf2,protein-coding,5.170316,8.071226,8.378841
ENSMUSG00000031661,Nkd1,protein-coding,4.028683,2.290127,3.366658
ENSMUSG00000096263,Snord14c,snoRNA,5.331216,1.286217,4.89566
ENSMUSG00000069601,Ank3,protein-coding,3.782714,5.426592,5.474257
ENSMUSG00000029288,Ambn,protein-coding,3.823473,1.38856,6.495028
ENSMUSG00000060412,Tas2r124,protein-coding,5.923992,5.313048,4.32741
ENSMUSG00000068749,Psma5,protein-coding,3.727739,-0.729777,0.400865
ENSMUSG00000038506,Dcun1d2,protein-coding,5.170316,2.768728,7.260758
ENSMUSG00000053483,Usp21,protein-coding,5.423251,6.542339,8.236967
ENSMUSG00000042492,Tbc1d10b,protein-coding,3.142079,1.97245,5.323804
ENSMUSG00000030768,Disp1,protein-coding,5.278747,4.439409,3.920895
ENSMUSG00000037364,Srrt,protein-coding,5.276346,5.063255,7.467415
ENSMUSG00000101655,2310040G24Rik,ncRNA,3.958392,3.323414,3.563364
ENSMUSG00000020023,Tmcc3,protein-coding,2.886743,5.855528,4.806972
,Gm20337,ncRNA,6.10715,4.750928,6.836537
ENSMUSG00000021065,Fut8,protein-coding,3.823368,2.05848,3.183082
ENSMUSG00000028556,Dock7,protein-coding,3.11968,0.739605,2.24904
,Foxl2,protein-coding,3.694202,4.483323,5.616856
ENSMUSG00000057522,Spop,protein-coding,6.222431,1.758168,2.617428
,4930549G23Rik,ncRNA,2.886743,5.60878,4.645896
ENSMUSG00000061130,Ppm1b,protein-coding,6.477767,4.635584,7.260758
ENSMUSG00000024976,Shoc2,protein-coding,5.577081,4.011275,4.425328
ENSMUSG00000021546,Hnrnpk,protein-coding,5.924097,11.938947,10.074802
ENSMUSG00000029228,Lnx1,protein-coding,3.029037,2.792747,3.154889
ENSMUSG00000034201,Gas2l1,protein-coding,7.655548,1.286217,4.932525
ENSMUSG00000033970,Rfc3,protein-coding,11.539806,9.640199,9.551362
ENSMUSG00000048938,Nr1h5,protein-coding,6.176928,0.459154,1.813083
ENSMUSG00000047003,Zfp41,protein-coding,0.032984,2.853301,3.779592
ENSMUSG00000019900,Rfx6,protein-coding,3.10132,1.235822,3.100009
ENSMUSG00000029603,Dtx1,protein-coding,3.347185,3.675205,5.54818
ENSMUSG00000001911,Nfix,protein-coding,2.976569,7.620178,7.573413
ENSMUSG00000066861,Oas1g,protein-coding,9.30991,7.480267,8.766016
ENSMUSG00000050704,2310061N02Rik,protein-coding,3.823368,5.71639,4.182517
ENSMUSG00000096199,Ptrhd1,protein-coding,4.577539,5.541801,5.495635
ENSMUSG00000028423,Nfx1,protein-coding,2.200739,2.643799,1.253603
,4930480G23Rik,ncRNA,8.707662,6.513643,6.092533
ENSMUSG00000018924,Alox15,protein-coding,2.474435,4.149462,6.427163
,Fdx1,protein-coding,5.577081,3.202669,5.636365
,G3bp1,protein-coding,3.730245,7.374008,8.236967
ENSMUSG00000100253,1700020N18Rik,ncRNA,5.577081,6.716141,6.155046
ENSMUSG00000012282,Wnt8a,protein-coding,0.991225,1.192482,3.869321
ENSMUSG00000020107,Anapc16,protein-coding,2.092308,1.069189,0.600712
ENSMUSG00000000402,Egfl6,protein-coding,6.179329,3.031145,6.022074
ENSMUSG00000021038,Vipas39,protein-coding,8.406823,7.409049,7.337292
ENSMUSG00000073027,Dmrtc1b,protein-coding,6.860827,7.723993,8.26882
ENSMUSG00000023147,Wrb,protein-coding,5.425652,-1.027014,4.098078
ENSMUSG00000052392,Acot4,protein-coding,6.176928,1.185383,1.526768
ENSMUSG00000026107,Nabp1,protein-coding,0.652132,-0.150894,3.706522
ENSMUSG00000032239,Rp9,protein-coding,6.860722,3.074098,2.370761
ENSMUSG00000003500,Impdh1,protein-coding,2.886638,8.248968,7.851007
ENSMUSG00000035601,Trmt10b,protein-coding,8.707662,4.714028,4.920012
ENSMUSG00000033526,Ppip5k1,protein-coding,4.028579,-1.878841,2.08935
ENSMUSG00000029089,Pacrgl,protein-coding,5.57468,3.930259,5.610812
ENSMUSG00000099245,Mir8098,ncRNA,6.104645,2.937159,2.93721
ENSMUSG00000057280,Musk,protein-coding,5.924097,5.686195,7.865028
ENSMUSG00000024992,Pde6c,protein-coding,6.824679,5.069265,5.870574
ENSMUSG00000054733,Msra,protein-coding,2.845984,3.365144,3.046527
ENSMUSG00000023951,Vegfa,protein-coding,2.347644,3.57953,4.653371
ENSMUSG00000044952,Kctd21,protein-coding,3.621919,8.779958,9.970364
ENSMUSG00000030753,Prkrir,protein-coding,2.539727,3.498364,3.726163
ENSMUSG00000032396,Dis3l,protein-coding,6.179329,3.323414,3.570839
ENSMUSG00000070855,Olfr1116,protein-coding,3.10132,-1.336471,2.025784
ENSMUSG00000005089,Slc1a2,protein-coding,5.331216,2.101194,3.478846
ENSMUSG00000002489,Tiam1,protein-coding,5.057004,2.703691,5.466782
ENSMUSG00000019865,Nmbr,protein-coding,8.556234,3.197528,3.473718
ENSMUSG00000085741,5430405H02Rik,ncRNA,3.508502,0.409136,4.47144
ENSMUSG00000026237,Nmur1,protein-coding,6.752396,3.437751,5.643586
ENSMUSG00000072931,Gm15080,protein-coding,8.300898,6.847682,6.940976
ENSMUSG00000040990,Sh3kbp1,protein-coding,4.37549,2.602016,3.706522
ENSMUSG00000068917,Clk2,protein-coding,5.425652,-0.794151,4.098078
ENSMUSG00000044814,Olfr543,protein-coding,6.107046,4.543877,5.049688
ENSMUSG00000074682,Zcchc3,protein-coding,7.506072,6.452116,6.696683
ENSMUSG00000039004,Bmp6,protein-coding,4.63205,5.624915,5.245015
ENSMUSG00000053963,6330403A02Rik,protein-coding,2.940525,2.873196,5.049688
ENSMUSG00000091971,Hspa1a,protein-coding,6.860722,6.089835,6.175246
ENSMUSG00000027082,Tfpi,protein-coding,2.474435,3.166125,3.101779
ENSMUSG00000075165,Olfr1105,protein-coding,9.054574,3.245354,1.833148
ENSMUSG00000060594,Layn,protein-coding,3.11968,7.398148,7.467415
ENSMUSG00000078747,Gm20878,protein-coding,2.200739,6.616326,7.081706
ENSMUSG00000017978,Cadps2,protein-coding,6.179433,3.091699,5.474257
ENSMUSG00000048620,Olfr1336,protein-coding,8.409329,9.954435,10.633918
ENSMUSG00000025892,Gria4,protein-coding,3.782714,5.841934,6.673738
ENSMUSG00000002107,Celf2,protein-coding,5.170421,11.8534,10.478594
ENSMUSG00000095376,Gm22109,rRNA,4.618299,2.066469,2.17336
ENSMUSG00000032527,Pccb,protein-coding,5.371975,-0.496752,5.050984
ENSMUSG00000026070,Il18r1,protein-coding,6.752396,4.84065,5.466782
,Gm3636,protein-coding,2.845984,1.565727,3.181786
ENSMUSG00000055862,Izumo4,protein-coding,2.974063,3.013353,3.563364
ENSMUSG00000022884,Eif4a2,protein-coding,11.539806,7.090978,6.317845
ENSMUSG00000025758,Plk4,protein-coding,6.824679,5.627347,6.913419
ENSMUSG00000032988,Slc16a8,protein-coding,3.141975,6.919051,6.696683
ENSMUSG00000075070,4932412D23Rik,ncRNA,3.782714,6.055003,6.128073
ENSMUSG00000055932,Fto,protein-coding,0.543806,5.004493,8.861422
ENSMUSG00000086598,Btbd18,protein-coding,2.886743,4.176136,5.763609
ENSMUSG00000015652,Steap1,protein-coding,3.782714,2.186741,4.307345
ENSMUSG00000004099,Dnmt1,protein-coding,3.619413,0.102227,4.355577
ENSMUSG00000033720,Sfxn5,protein-coding,5.924097,9.064654,8.137848
ENSMUSG00000005251,Ripk4,protein-coding,5.371975,2.090948,4.475615
ENSMUSG00000062905,Vmn1r32,protein-coding,2.471929,3.589637,2.179878
ENSMUSG00000025371,Chmp6,protein-coding,6.752396,9.801725,9.278516
ENSMUSG00000058252,Tcp11x2,protein-coding,11.539806,6.054689,5.70787
ENSMUSG00000060491,4930522H14Rik,protein-coding,2.388403,2.401462,7.397313
ENSMUSG00000071065,Olfr806,protein-coding,5.37187,1.755697,2.941385
ENSMUSG00000042992,Borcs5,protein-coding,3.878374,3.787953,4.660303
ENSMUSG00000079550,Mpp4,protein-coding,3.10132,4.156172,6.531865
ENSMUSG00000009588,St6galnac1,protein-coding,9.30991,4.404826,6.166104
ENSMUSG00000043429,Ccdc185,protein-coding,6.860722,9.520515,8.766016
ENSMUSG00000040177,2310057M21Rik,protein-coding,4.618194,4.661802,4.666321
ENSMUSG00000039997,Ifi203,protein-coding,6.107046,3.744063,4.886889
ENSMUSG00000058643,Speer4f1,protein-coding,9.991304,4.262431,2.805109
ENSMUSG00000053624,Gykl1,protein-coding,9.237627,1.067788,5.290681
,D830005E20Rik,ncRNA,3.782714,0.831806,1.519974
,Gpx2-ps1,pseudo,6.222431,5.859138,8.525023
ENSMUSG00000031843,Mphosph6,protein-coding,8.409224,0.963738,2.06023
ENSMUSG00000100585,1700108J01Rik,ncRNA,3.142079,2.873196,5.050984
ENSMUSG00000020935,Dcakd,protein-coding,4.37549,6.513643,5.411625
ENSMUSG00000061626,Olfr68,protein-coding,9.237627,4.308882,6.803415
ENSMUSG00000100084,2310068J16Rik,ncRNA,5.371975,3.893766,4.326113
ENSMUSG00000022236,Ropn1l,protein-coding,4.028579,1.193996,3.183082
ENSMUSG00000078795,Ceacam15,protein-coding,2.402155,6.273828,7.573413
ENSMUSG00000025280,Polr3a,protein-coding,5.276346,5.069265,4.029011
ENSMUSG00000009394,Syn2,protein-coding,3.621814,3.944527,3.517103
,2310075C17Rik,ncRNA,5.170316,4.407297,3.788653
,Gm2011,pseudo,5.057004,2.132221,5.564797
ENSMUSG00000090553,Snrpe,protein-coding,3.069796,0.595219,1.140564
,Pon2,protein-coding,9.237627,4.359703,4.888185
ENSMUSG00000017421,Zfp207,protein-coding,0.543806,-2.029378,0.117621
ENSMUSG00000065483,Mir181c,ncRNA,6.858321,9.345564,10.230126
ENSMUSG00000040028,Elavl1,protein-coding,5.278747,4.440868,4.920012
ENSMUSG00000028678,Kif2c,protein-coding,1.581486,0.105577,1.99048
,Sgk3,protein-coding,3.823473,1.537268,4.165471
ENSMUSG00000045336,Hsfy2,protein-coding,3.10132,4.019689,6.022074
ENSMUSG00000102185,5033404E19Rik,pseudo,8.409224,6.404342,6.264364
ENSMUSG00000036099,Vezt,protein-coding,3.823368,4.17875,5.213064
ENSMUSG00000001018,Snapin,protein-coding,9.237627,-0.139048,4.119456
ENSMUSG00000074793,Hspa12b,protein-coding,8.300898,2.406198,3.967156
ENSMUSG00000031167,Rbm3,protein-coding,2.388298,4.359703,3.563364
ENSMUSG00000017631,Abr,protein-coding,4.577539,1.97245,4.19662
ENSMUSG00000036430,Tbcc,protein-coding,0.652132,2.344181,2.771085
,Galnt6,protein-coding,4.525071,4.405054,5.870668
ENSMUSG00000017943,Gdap1l1,protein-coding,6.858321,3.266959,7.416081
ENSMUSG00000000782,Tcf7,protein-coding,6.104645,-0.325558,0.179402
ENSMUSG00000000731,Aire,protein-coding,3.069796,2.78713,7.012289
ENSMUSG00000029580,Actb,protein-coding,1.799907,5.854578,5.888406
,Nop10,protein-coding,5.577081,4.917066,7.416081
ENSMUSG00000022427,Tomm22,protein-coding,5.170316,2.174031,4.622814
ENSMUSG00000062110,Scfd2,protein-coding,3.029037,-0.337644,2.962881
ENSMUSG00000021133,Susd6,protein-coding,2.295175,0.373608,2.926853
ENSMUSG00000079179,Rab10os,ncRNA,8.409224,6.08566,5.008197
ENSMUSG00000061457,Olfr871,protein-coding,4.375595,7.043997,9.309073
ENSMUSG00000021198,Unc79,protein-coding,6.179329,6.732423,6.017919
ENSMUSG00000018012,Rac3,protein-coding,2.145764,5.714728,4.123631
ENSMUSG00000040728,Esrp1,protein-coding,3.347185,0.817612,4.769726
ENSMUSG00000004837,Grap,protein-coding,8.409224,6.188282,7.977205
ENSMUSG00000055116,Arntl,protein-coding,6.477767,1.86397,3.956923
,1700104L18Rik,ncRNA,9.054574,6.716141,6.420415
ENSMUSG00000032386,Trip4,protein-coding,7.15916,3.029686,5.24362
ENSMUSG00000032561,Acpp,protein-coding,5.37187,10.957398,10.471119
,Uprt,protein-coding,4.618299,5.996255,7.865028
,Pld6,protein-coding,8.707662,5.69037,7.863732
ENSMUSG00000022797,Tfrc,protein-coding,2.198233,1.303084,2.568419
ENSMUSG00000033906,Zdhhc15,protein-coding,5.170316,0.713822,4.89566
ENSMUSG00000100860,2010009K17Rik,ncRNA,0.747897,5.619298,5.579496
ENSMUSG00000087598,Zfp111,protein-coding,5.577081,5.252913,6.736022
ENSMUSG00000047462,A530099J19Rik,protein-coding,4.522565,7.393973,7.468711
ENSMUSG00000017733,Eppin,protein-coding,8.409329,6.381819,8.267524
ENSMUSG00000033219,Gm9758,protein-coding,6.179433,10.838014,9.278516
ENSMUSG00000095295,Gm3488,protein-coding,11.539806,7.654015,5.047965
ENSMUSG00000031951,Tmem231,protein-coding,4.63205,3.597656,3.563364
ENSMUSG00000034994,Eef2,protein-coding,2.198233,0.373608,0.491392
ENSMUSG00000039033,Tasp1,protein-coding,9.054574,6.937404,7.708408
ENSMUSG00000044375,BC027072,protein-coding,3.091849,2.055359,6.400919
ENSMUSG00000037921,Ddx60,protein-coding,5.425757,3.295807,5.815417
,Sdhc,protein-coding,8.707662,8.451877,8.388468
ENSMUSG00000055360,Prl2c5,protein-coding,0.859553,0.384342,2.193789
ENSMUSG00000021427,Ssr1,protein-coding,4.373089,1.324566,2.102753
ENSMUSG00000023007,Prpf40b,protein-coding,3.730245,5.629766,5.870574
ENSMUSG00000020346,Mgat1,protein-coding,3.694097,0.218745,2.621011
ENSMUSG00000043945,Adam6a,protein-coding,4.37549,3.934142,6.425866
ENSMUSG00000037974,Muc5ac,protein-coding,3.10132,4.034123,1.904997
ENSMUSG00000031974,Abcb10,protein-coding,3.083548,1.847643,3.761679
ENSMUSG00000051331,Cacna1c,protein-coding,7.655653,6.616267,8.391354
ENSMUSG00000035594,Chrna5,protein-coding,6.176928,2.62317,2.410022
ENSMUSG00000020734,Grin2c,protein-coding,0.011393,1.278028,5.151863
ENSMUSG00000092879,Gm22650,ncRNA,5.577081,6.20261,6.148865
ENSMUSG00000045095,Magi1,protein-coding,3.34729,5.789204,7.328151
ENSMUSG00000041264,Uspl1,protein-coding,4.028579,4.019689,6.022074
ENSMUSG00000028454,Pigo,protein-coding,3.958392,3.323414,3.563364
ENSMUSG00000018661,Cog1,protein-coding,5.921591,2.044289,3.505571
ENSMUSG00000028954,Nub1,protein-coding,2.241393,8.932565,10.471119
,Cyb561a3,protein-coding,3.694202,4.471675,5.460858
ENSMUSG00000024560,Cxxc1,protein-coding,0.82781,3.323414,3.563364
ENSMUSG00000064177,Ghrl,protein-coding,1.485316,0.604124,4.528733
ENSMUSG00000053070,9230110C19Rik,protein-coding,3.621919,2.25681,6.159925
ENSMUSG00000051166,Eml5,protein-coding,7.655653,6.616267,8.391354
ENSMUSG00000096640,Gm4312,protein-coding,5.170316,1.523255,0.407383
ENSMUSG00000026368,F13b,protein-coding,0.543806,3.979312,3.378679
ENSMUSG00000039844,Rapgef1,protein-coding,3.958392,2.200248,1.920116
ENSMUSG00000040289,Hey1,protein-coding,3.10132,4.01823,5.24362
ENSMUSG00000058355,Abce1,protein-coding,2.200739,5.827606,5.171503
ENSMUSG00000100717,1700120G07Rik,ncRNA,5.924097,9.345564,10.230126
ENSMUSG00000027376,Prom2,protein-coding,4.63205,4.06004,3.730363
ENSMUSG00000033769,Exoc6b,protein-coding,2.198233,0.194982,0.407288
ENSMUSG00000093606,B130034C11Rik,ncRNA,3.029037,2.042482,3.345178
ENSMUSG00000021066,Atl1,protein-coding,1.487717,1.278298,3.505661
ENSMUSG00000032671,A930018P22Rik,protein-coding,4.63205,4.40065,4.99488
ENSMUSG00000062184,Hs6st2,protein-coding,6.10715,6.667744,6.836537
ENSMUSG00000075166,Olfr1104,protein-coding,4.028579,3.913969,4.647192
ENSMUSG00000027750,Postn,protein-coding,5.276241,4.39753,4.654667
ENSMUSG00000026124,Cfc1,protein-coding,2.47433,2.978702,5.323804
ENSMUSG00000073877,Gm13306,protein-coding,1.338136,3.960809,5.208316
,Rab35,protein-coding,5.577185,2.200248,3.539912
ENSMUSG00000087279,4930544D05Rik,protein-coding,7.655653,8.828424,9.955154
ENSMUSG00000064127,Med14,protein-coding,2.295175,4.3701,4.165566
ENSMUSG00000057411,Fam173a,protein-coding,-0.357709,7.026202,6.159222
,Gm10012,pseudo,3.029037,1.38531,3.449023
ENSMUSG00000044819,Oxgr1,protein-coding,11.539806,9.640199,10.633918
ENSMUSG00000047712,Ust,protein-coding,6.860722,4.758205,7.317211
ENSMUSG00000033207,Mamdc2,protein-coding,8.300898,4.054123,4.134155
ENSMUSG00000037720,Tmem33,protein-coding,3.823368,6.428097,7.253283
ENSMUSG00000034883,Lrr1,protein-coding,8.707662,9.655624,10.230126
ENSMUSG00000094228,Gm4303,protein-coding,5.425652,1.523255,0.508326
ENSMUSG00000096019,Snord116,snoRNA,4.577539,3.913969,4.021536
ENSMUSG00000029797,Sspo,protein-coding,9.30991,4.533691,7.012289
ENSMUSG00000005803,Sqrdl,protein-coding,6.477767,5.171423,1.237527
ENSMUSG00000085148,Mir22hg,ncRNA,8.556234,2.204581,4.006416
ENSMUSG00000006517,Mvd,protein-coding,3.694202,4.048183,6.752527
ENSMUSG00000026103,Gls,protein-coding,0.656743,1.141866,1.858261
,Israa,protein-coding,4.577539,6.655587,9.102415
ENSMUSG00000074447,Defa21,protein-coding,3.694097,3.839402,4.571282
ENSMUSG00000047810,Ccdc88b,protein-coding,5.278747,7.704781,9.169808
ENSMUSG00000038421,Fcrla,protein-coding,6.824679,7.820983,7.436859
ENSMUSG00000087038,2900079G21Rik,ncRNA,3.782714,3.804361,5.466782
ENSMUSG00000038374,Rbm8a,protein-coding,3.046346,3.684842,3.167047
ENSMUSG00000024844,Banf1,protein-coding,5.331216,6.426538,5.636365
ENSMUSG00000030653,Pde2a,protein-coding,5.331216,3.564125,5.574424
ENSMUSG00000002845,Tmem39a,protein-coding,6.179433,4.486197,5.20702
ENSMUSG00000052794,1700030K09Rik,protein-coding,3.823368,3.323414,3.602624
ENSMUSG00000056220,Pla2g4a,protein-coding,3.10132,2.236748,2.316433
ENSMUSG00000035329,Fbxo33,protein-coding,6.179329,1.149143,3.342862
ENSMUSG00000023170,Gps2,protein-coding,2.337005,1.054861,5.173518
ENSMUSG00000045594,Glb1,protein-coding,5.167915,3.366833,4.653371
ENSMUSG00000053856,Dnajc5g,protein-coding,5.057004,-0.692301,5.291977
,A730085K08Rik,ncRNA,8.409224,3.565202,4.490572
ENSMUSG00000031438,Rnf128,protein-coding,3.823368,7.674882,8.388468
ENSMUSG00000021265,Slc25a29,protein-coding,3.10132,-0.205942,3.246636
ENSMUSG00000007021,Syngr3,protein-coding,4.37549,6.583889,6.166104
ENSMUSG00000011958,Bnip2,protein-coding,6.179329,6.165589,7.416081
ENSMUSG00000021192,Golga5,protein-coding,8.556234,9.406118,9.682308
ENSMUSG00000020843,Timm22,protein-coding,1.297482,1.754026,2.687075
ENSMUSG00000040712,Camta2,protein-coding,2.295175,1.495443,3.145747
ENSMUSG00000059213,Ddn,protein-coding,6.107046,4.096939,3.789949
,Hyal1,protein-coding,5.371975,1.762344,5.049688
ENSMUSG00000043267,Olfr1031,protein-coding,3.727739,2.332675,2.164759
ENSMUSG00000030766,Arhgap17,protein-coding,3.142079,0.307028,5.307187
ENSMUSG00000030378,Sult2a8,protein-coding,2.886743,4.721131,4.249579
ENSMUSG00000059208,Hnrnpm,protein-coding,0.656848,5.139093,5.771454
ENSMUSG00000062210,Tnfaip8,protein-coding,9.991304,2.697048,3.553131
ENSMUSG00000096239,Mir466b-4,ncRNA,2.474435,1.124785,5.54818
ENSMUSG00000032503,Arpp21,protein-coding,3.823368,1.581738,3.761774
ENSMUSG00000037697,Ddhd1,protein-coding,6.107046,0.072161,3.345178
ENSMUSG00000022579,Gpihbp1,protein-coding,4.63205,9.199711,8.254799
ENSMUSG00000065539,Mir216a,ncRNA,8.300898,3.964096,5.648709
ENSMUSG00000000693,Loxl3,protein-coding,6.071002,6.08566,6.176542
ENSMUSG00000032366,Tpm1,protein-coding,4.673929,2.395681,2.780227
ENSMUSG00000085776,5430402O13Rik,ncRNA,3.619413,4.138483,4.425328
ENSMUSG00000038500,Prr3,protein-coding,6.860827,11.912248,12.079258
ENSMUSG00000015766,Eps8,protein-coding,7.653147,1.023882,4.653371
ENSMUSG00000087070,Gm12505,ncRNA,4.577539,2.91517,6.615973
ENSMUSG00000021798,Ldb3,protein-coding,3.730245,5.134917,5.77275
ENSMUSG00000038244,Mical2,protein-coding,10.786129,9.313953,10.874911
ENSMUSG00000097063,Pantr2,ncRNA,5.923992,6.273828,5.568972
ENSMUSG00000021439,Ctsq,protein-coding,3.823473,7.148036,7.054721
ENSMUSG00000026312,Cdh7,protein-coding,9.991304,6.071332,7.081706
ENSMUSG00000030980,Knop1,protein-coding,0.652237,1.550137,1.558677
ENSMUSG00000094270,Gm22291,rRNA,4.618299,2.066469,2.17336
,Trim17,protein-coding,7.655548,4.68156,7.087158
ENSMUSG00000021368,Tbc1d7,protein-coding,7.653147,2.004202,4.165471
ENSMUSG00000028883,Sema3a,protein-coding,3.344784,3.539203,2.942089
ENSMUSG00000063409,Lrrc43,protein-coding,4.577539,5.314855,5.245015
ENSMUSG00000052151,Plpp2,protein-coding,3.046346,4.183202,5.991518
ENSMUSG00000046605,B3gntl1,protein-coding,4.525071,5.832973,6.022074
ENSMUSG00000023349,Clec4n,protein-coding,8.300898,3.323414,6.427163
,Speer4e,protein-coding,6.179433,10.838014,9.278516
ENSMUSG00000039224,D1Pas1,protein-coding,5.923992,8.779958,9.970364
ENSMUSG00000022263,Trio,protein-coding,11.539806,8.832599,10.615149
ENSMUSG00000053519,Kcnip1,protein-coding,2.337005,5.266389,6.432745
ENSMUSG00000048502,Duxbl1,protein-coding,1.579085,4.475607,4.886889
ENSMUSG00000028116,Myoz2,protein-coding,3.10132,2.200335,6.091236
ENSMUSG00000026927,Sdccag3,protein-coding,3.34729,2.857477,3.782471
ENSMUSG00000031672,Got2,protein-coding,3.992535,4.100409,4.633171
,Crygn,protein-coding,7.655653,7.926489,7.833175
ENSMUSG00000051209,Gpr119,protein-coding,9.054574,5.850993,5.710979
ENSMUSG00000075415,Fnbp1,protein-coding,6.179433,8.151003,8.236967
ENSMUSG00000026930,Gpsm1,protein-coding,6.107046,0.884509,2.544476
ENSMUSG00000030789,Itgax,protein-coding,3.782714,1.528892,1.34927
ENSMUSG00000106608,Mir466b-1,ncRNA,1.799907,1.124785,5.54818
ENSMUSG00000031342,Gpm6b,protein-coding,6.107046,2.978702,4.295557
ENSMUSG00000063882,Uqcrh,protein-coding,5.37187,3.232821,5.049688
ENSMUSG00000096436,Olfr1437,protein-coding,3.782714,0.759129,2.010561
ENSMUSG00000025237,Parp6,protein-coding,6.858321,3.323414,3.563364
ENSMUSG00000095655,Gm14479,protein-coding,7.653147,4.403967,4.666321
ENSMUSG00000028033,Kcnq5,protein-coding,9.237627,3.361488,5.290681
,Phpt1,protein-coding,3.083548,2.048133,4.028916
ENSMUSG00000037013,Ss18,protein-coding,5.577081,2.259577,4.987404
,Lonrf3,protein-coding,7.655653,7.654015,9.169808
ENSMUSG00000058741,Prr19,protein-coding,4.673929,3.323414,5.574424
ENSMUSG00000056692,D17Wsu92e,protein-coding,0.011498,2.285795,0.978784
ENSMUSG00000036769,Wdr44,protein-coding,3.782714,0.119905,1.992928
ENSMUSG00000096457,Gm10147,protein-coding,6.176928,7.926489,7.833175
ENSMUSG00000020435,Osbp2,protein-coding,5.923992,3.944527,5.643586
ENSMUSG00000096304,Gm16451,protein-coding,3.694202,4.329749,6.022074
ENSMUSG00000028759,Hp1bp3,protein-coding,6.858321,3.078126,3.719839
ENSMUSG00000046574,Prr12,protein-coding,6.10715,11.181911,10.874911
ENSMUSG00000044066,Cep68,protein-coding,5.423251,5.490903,6.840713
ENSMUSG00000057880,Abat,protein-coding,4.577539,3.665076,6.637628
ENSMUSG00000054626,Xlr,protein-coding,4.577539,10.231169,10.471119
ENSMUSG00000044287,Nrn1l,protein-coding,3.10132,1.255666,4.386134
ENSMUSG00000065649,Snora74a,snoRNA,4.373089,4.270569,2.34086
ENSMUSG00000000263,Glra1,protein-coding,3.878374,3.827577,4.660303
ENSMUSG00000033767,D930015E06Rik,protein-coding,0.649731,-0.15543,2.131782
ENSMUSG00000027272,Ubr1,protein-coding,3.878374,4.564949,7.012289
ENSMUSG00000049583,Grm5,protein-coding,3.823368,-1.80924,2.250242
ENSMUSG00000021071,Trim9,protein-coding,3.694202,4.591703,6.159925
,Kcnn3,protein-coding,3.029037,5.031132,6.145905
ENSMUSG00000022340,Sybu,protein-coding,7.653147,3.620198,4.645896
ENSMUSG00000068349,Gml,protein-coding,3.10132,0.84608,3.269971
ENSMUSG00000001076,C1ql4,protein-coding,3.958392,5.278007,6.128073
ENSMUSG00000051146,Camk2n2,protein-coding,3.823368,2.847684,3.455902
ENSMUSG00000086951,1700051A21Rik,ncRNA,4.63205,3.146913,4.249579
ENSMUSG00000042414,Prdm14,protein-coding,3.727844,5.066506,6.322021
,E530001F21Rik,pseudo,7.655653,3.186506,6.803415
ENSMUSG00000031354,Amelx,protein-coding,3.11968,5.059079,7.468711
ENSMUSG00000047636,Cdcp2,protein-coding,2.446604,-0.469967,0.143795
ENSMUSG00000059610,Olfr222,protein-coding,6.107046,3.280506,3.762975
ENSMUSG00000055980,Irs1,protein-coding,4.63205,7.522543,7.337292
ENSMUSG00000065442,Mir20a,ncRNA,3.619413,1.974573,4.654667
ENSMUSG00000002767,Mrpl2,protein-coding,6.10715,4.409361,6.563717
,D7Ertd143e,ncRNA,2.200739,2.063371,2.998422
ENSMUSG00000087393,1700023C21Rik,ncRNA,1.499068,2.796922,4.326113
ENSMUSG00000062528,Tas2r109,protein-coding,3.782714,2.186741,3.761679
,D16Ertd472e,protein-coding,7.506072,2.260985,5.170632
ENSMUSG00000069833,Ahnak,protein-coding,5.37187,3.499764,5.228398
ENSMUSG00000042807,Hecw2,protein-coding,5.425652,5.512139,5.070465
ENSMUSG00000045883,Olfr1461,protein-coding,11.539806,6.054689,5.70787
,Gm4013,ncRNA,6.107046,6.05681,6.14469
ENSMUSG00000032526,Deb1,protein-coding,6.860722,5.018714,6.128073
ENSMUSG00000031517,Gpm6a,protein-coding,6.179433,5.630064,5.484614
ENSMUSG00000095620,2010005H15Rik,protein-coding,5.921591,7.804656,6.9335
ENSMUSG00000020827,Mink1,protein-coding,3.694202,2.929732,4.119456
ENSMUSG00000025666,Tmem47,protein-coding,6.477767,3.323414,4.198245
ENSMUSG00000040812,Agbl2,protein-coding,7.506072,2.746808,6.804711
ENSMUSG00000018861,Fdxr,protein-coding,3.958392,5.624915,7.253283
